"Data As Of","Jurisdiction of Occurrence","Urban-Rural Classification","Year","Month","Time Period","Total Deaths","Drug Overdose Deaths"
"07/04/2021","United States","3-Medium metro","2019","11","12 month-ending","623,690","15,762"
"07/04/2021","United States","4-Small metro","2019","11","12 month-ending","296,247","5,659"
"07/04/2021","United States","5-Micropolitan","2019","11","12 month-ending","301,720","5,283"
"07/04/2021","United States","6-Noncore","2019","11","12 month-ending","231,717","3,007"
"07/04/2021","United States","1-Large central metro","2019","12","12 month-ending","733,320","22,937"
"07/04/2021","United States","2-Large fringe metro","2019","12","12 month-ending","664,855","17,764"
"07/04/2021","United States","3-Medium metro","2019","12","12 month-ending","625,611","15,835"
"07/04/2021","United States","4-Small metro","2019","12","12 month-ending","296,445","5,745"
"07/04/2021","United States","5-Micropolitan","2019","12","12 month-ending","302,347","5,313"
"07/04/2021","United States","6-Noncore","2019","12","12 month-ending","232,260","3,036"
"07/04/2021","United States","1-Large central metro","2020","1","12 month-ending","734,739","23,239"
"07/04/2021","United States","2-Large fringe metro","2020","1","12 month-ending","667,048","18,049"
"07/04/2021","United States","3-Medium metro","2020","1","12 month-ending","627,406","16,028"
"07/04/2021","United States","4-Small metro","2020","1","12 month-ending","296,545","5,804"
"07/04/2021","United States","5-Micropolitan","2020","1","12 month-ending","302,945","5,373"
"07/04/2021","United States","6-Noncore","2020","1","12 month-ending","232,573","3,103"
"07/04/2021","United States","1-Large central metro","2020","2","12 month-ending","737,549","23,696"
"07/04/2021","United States","2-Large fringe metro","2020","2","12 month-ending","669,874","18,287"
"07/04/2021","United States","3-Medium metro","2020","2","12 month-ending","630,331","16,312"
"07/04/2021","United States","4-Small metro","2020","2","12 month-ending","297,900","5,945"
"07/04/2021","United States","5-Micropolitan","2020","2","12 month-ending","304,038","5,437"
"07/04/2021","United States","6-Noncore","2020","2","12 month-ending","233,179","3,125"
"07/04/2021","United States","1-Large central metro","2020","3","12 month-ending","744,863","24,264"
"07/04/2021","United States","2-Large fringe metro","2020","3","12 month-ending","673,936","18,562"
"07/04/2021","United States","3-Medium metro","2020","3","12 month-ending","632,237","16,648"
"07/04/2021","United States","4-Small metro","2020","3","12 month-ending","298,483","6,019"
"07/04/2021","United States","5-Micropolitan","2020","3","12 month-ending","304,257","5,432"
"07/04/2021","United States","6-Noncore","2020","3","12 month-ending","233,420","3,182"
"07/04/2021","United States","1-Large central metro","2020","4","12 month-ending","787,355","25,048"
"07/04/2021","United States","2-Large fringe metro","2020","4","12 month-ending","703,265","19,074"
"07/04/2021","United States","3-Medium metro","2020","4","12 month-ending","641,623","17,197"
"07/04/2021","United States","4-Small metro","2020","4","12 month-ending","300,868","6,218"
"07/04/2021","United States","5-Micropolitan","2020","4","12 month-ending","306,341","5,587"
"07/04/2021","United States","6-Noncore","2020","4","12 month-ending","234,383","3,296"
"07/04/2021","United States","1-Large central metro","2020","5","12 month-ending","803,732","26,304"
"07/04/2021","United States","2-Large fringe metro","2020","5","12 month-ending","716,943","19,750"
"07/04/2021","United States","3-Medium metro","2020","5","12 month-ending","649,400","18,000"
"07/04/2021","United States","4-Small metro","2020","5","12 month-ending","303,632","6,559"
"07/04/2021","United States","5-Micropolitan","2020","5","12 month-ending","307,977","5,901"
"07/04/2021","United States","6-Noncore","2020","5","12 month-ending","235,417","3,451"
"07/04/2021","United States","1-Large central metro","2020","6","12 month-ending","812,328","27,104"
"07/04/2021","United States","2-Large fringe metro","2020","6","12 month-ending","721,839","20,188"
"07/04/2021","United States","3-Medium metro","2020","6","12 month-ending","654,750","18,554"
"07/04/2021","United States","4-Small metro","2020","6","12 month-ending","306,079","6,791"
"07/04/2021","United States","5-Micropolitan","2020","6","12 month-ending","309,853","6,091"
"07/04/2021","United States","6-Noncore","2020","6","12 month-ending","236,825","3,559"
"07/04/2021","United States","1-Large central metro","2020","7","12 month-ending","828,712","27,996"
"07/04/2021","United States","2-Large fringe metro","2020","7","12 month-ending","730,268","20,584"
"07/04/2021","United States","3-Medium metro","2020","7","12 month-ending","667,682","19,142"
"07/04/2021","United States","4-Small metro","2020","7","12 month-ending","310,570","6,977"
"07/04/2021","United States","5-Micropolitan","2020","7","12 month-ending","313,820","6,213"
"07/04/2021","United States","6-Noncore","2020","7","12 month-ending","239,818","3,672"
"07/04/2021","United States","1-Large central metro","2020","8","12 month-ending","843,194","28,701"
"07/04/2021","United States","2-Large fringe metro","2020","8","12 month-ending","738,080","20,973"
"07/04/2021","United States","3-Medium metro","2020","8","12 month-ending","679,890","19,569"
"07/04/2021","United States","4-Small metro","2020","8","12 month-ending","316,104","7,158"
"07/04/2021","United States","5-Micropolitan","2020","8","12 month-ending","319,260","6,385"
"07/04/2021","United States","6-Noncore","2020","8","12 month-ending","243,796","3,801"
"07/04/2021","United States","1-Large central metro","2020","9","12 month-ending","851,282","29,226"
"07/04/2021","United States","2-Large fringe metro","2020","9","12 month-ending","743,839","21,251"
"07/04/2021","United States","3-Medium metro","2020","9","12 month-ending","688,339","20,099"
"07/04/2021","United States","4-Small metro","2020","9","12 month-ending","320,284","7,284"
"07/04/2021","United States","5-Micropolitan","2020","9","12 month-ending","323,443","6,431"
"07/04/2021","United States","6-Noncore","2020","9","12 month-ending","247,153","3,864"
"07/04/2021","United States","1-Large central metro","2020","10","12 month-ending","858,670","29,644"
"07/04/2021","United States","2-Large fringe metro","2020","10","12 month-ending","750,112","21,513"
